"incidence","size","x","g1","g2"
3,11,0.384927482461749,"14","4"
4,9,-0.0656995274318642,"4","1"
13,18,-1.09876084667192,"5","12"
6,19,0.528756411636373,"7","4"
12,12,0.555935455994521,"8","6"
0,15,-3.08546471448877,"14","4"
6,11,-0.144152069185076,"1","3"
0,13,2.96640008667627,"9","2"
2,14,-1.20367328081447,"1","7"
1,5,0.876292483965038,"7","12"
7,17,1.06757406365908,"9","12"
2,20,-0.963584395386551,"14","9"
4,7,0.264897005657387,"14","12"
2,6,-0.664803506353843,"11","11"
3,6,0.659071559983383,"9","2"
3,5,1.50377706600919,"13","7"
2,5,-2.11098509139321,"9","11"
8,9,1.01970944836095,"4","5"
0,6,-1.35718237708809,"3","9"
2,7,-1.55268466671784,"14","8"
10,20,-0.331632148201636,"1","6"
7,19,-1.69478077604318,"8","12"
4,15,-0.647997573418036,"7","4"
8,11,-0.00816237123400627,"3","1"
6,10,0.234483738153529,"9","11"
10,13,0.0820442658718827,"2","2"
3,13,1.63932959944813,"9","3"
8,8,1.39365572886466,"3","6"
4,19,0.103267640867147,"15","3"
11,20,0.691767576921602,"9","1"
5,18,0.159840006952504,"4","9"
8,8,0.50045116565922,"9","5"
16,19,0.269482610030434,"1","1"
11,17,-1.69865577157111,"11","3"
2,7,-0.715078479578975,"8","6"
5,10,-0.625072319236392,"11","11"
4,15,0.506667690767809,"15","3"
2,6,1.62488240829434,"14","4"
0,6,1.53724936020261,"15","10"
8,14,1.76388933662068,"4","4"
0,13,1.63239285613805,"2","8"
2,10,-0.239857630006694,"11","12"
11,18,0.209344715459549,"6","2"
6,10,0.585272849057812,"10","3"
10,12,-0.342373009960184,"12","6"
3,5,2.57570072027589,"13","8"
11,19,0.610423078487591,"12","4"
4,10,-0.421159741741075,"4","12"
1,7,0.257679360870105,"11","10"
4,9,-0.96535280189631,"6","12"
3,6,0.36808573291925,"3","3"
17,17,0.832562826435398,"6","5"
9,14,0.84937229027505,"5","2"
7,9,-0.394189078642992,"12","6"
11,13,1.03168900654693,"8","8"
11,16,-0.994330548318907,"9","12"
1,13,-0.1674670616134,"13","3"
4,13,0.21030915042218,"13","12"
7,7,0.183271238997626,"9","11"
3,5,-0.816184975411969,"13","5"
20,20,2.03747669166481,"6","11"
13,14,1.26488333963111,"8","3"
3,10,-0.430118626207705,"3","5"
6,19,-0.0957299053814136,"4","8"
7,8,-0.0749776789975222,"8","11"
5,12,0.0323971847032312,"4","6"
8,15,-0.691725967965204,"5","10"
3,11,-0.441538664249384,"3","11"
7,18,-1.07743125831396,"12","10"
5,9,-0.396425344245106,"5","8"
11,18,0.348878291655301,"10","3"
14,17,0.286124008688143,"11","8"
4,5,-0.147582902790767,"11","5"
7,18,0.278933008211784,"15","8"
13,20,-0.109659868796989,"1","11"
1,5,0.665860064373234,"4","12"
7,12,-0.717970490720521,"11","6"
2,6,1.24919129404736,"9","4"
3,6,0.516889752656133,"4","6"
7,8,-0.82828004799884,"2","5"
3,6,0.240208020619872,"9","1"
6,13,0.389585876995199,"11","2"
13,14,0.734579377347687,"3","3"
5,7,1.98521800855872,"9","9"
13,20,1.52552418024089,"13","8"
2,14,-0.798280519709321,"15","6"
3,15,-0.874714915233736,"7","1"
4,11,1.2452946413933,"4","12"
8,10,0.903873476064205,"4","11"
8,11,-0.482364876173568,"2","8"
9,10,-1.27698545877029,"5","8"
10,13,-0.0617246385715232,"6","11"
6,18,-0.0585406349103985,"2","10"
1,5,-0.717014480387665,"4","5"
14,20,-0.170723730826614,"12","5"
10,14,1.22682282045616,"12","1"
1,10,-0.437573013585461,"15","1"
9,12,0.55242734996966,"10","6"
16,17,2.23131342550877,"13","11"
4,9,-1.52648516003476,"7","7"
6,15,0.476778493208015,"7","4"
4,8,-0.753069401800719,"12","9"
5,5,0.0947817195237151,"4","11"
4,15,0.67780781380795,"15","2"
8,10,0.41656264471785,"12","6"
9,17,0.434858227439297,"11","3"
2,6,-0.652932858512349,"6","6"
1,8,-1.79605846241092,"7","4"
6,18,0.460762826878786,"2","10"
9,20,-0.440041345290079,"6","3"
9,17,-0.123846361561907,"3","8"
5,8,0.327512112322224,"3","7"
0,10,-0.682650086696561,"15","9"
9,17,0.318696913573048,"2","1"
16,16,1.35150690750708,"12","11"
2,14,-0.204295841031929,"14","3"
6,18,-0.63784473252841,"15","5"
3,7,-1.00303835663014,"13","9"
0,6,-1.67686207705225,"8","4"
6,9,-0.394452124956725,"2","9"
14,18,-0.514295708781511,"9","3"
6,7,-0.174529279258486,"5","2"
3,16,0.969548523911673,"15","9"
4,12,0.364501726586134,"4","10"
2,6,1.29286234543195,"13","12"
4,7,1.54872855471552,"9","1"
8,10,0.0841924270666877,"11","11"
2,5,-0.480469374199459,"10","1"
8,19,0.163440181840356,"14","6"
9,9,0.54362114109992,"7","6"
3,14,-1.45925310900839,"8","11"
10,16,1.07342993861677,"15","3"
4,5,1.36090349666576,"7","5"
0,7,-2.5543604634161,"10","4"
6,20,-1.1735459069654,"4","11"
8,20,-0.788436308477989,"3","3"
6,12,0.0993205344849278,"1","6"
3,9,-1.19809315081243,"3","3"
1,12,1.53455190516215,"7","10"
14,19,0.377464098893155,"5","12"
1,11,-1.42139335891141,"14","6"
5,7,0.443896612681296,"15","6"
1,17,-1.3709927097577,"13","9"
12,18,1.0740941898668,"8","12"
8,17,0.826004926954824,"6","10"
3,6,-0.342545463865375,"3","11"
17,20,1.07249888706881,"5","9"
10,15,-0.676366629323882,"2","7"
6,18,2.24498667132232,"10","2"
15,16,0.859731996812745,"11","5"
5,9,0.303751718884727,"7","1"
8,8,1.6228008834067,"3","9"
1,6,-1.85982245335902,"12","6"
8,18,-0.0952888318758215,"4","1"
12,15,0.753023693167621,"6","6"
8,9,-0.0553316691580856,"5","11"
16,18,-0.00534536359809267,"6","11"
5,11,1.16220768541352,"15","9"
4,5,0.569399367548161,"5","1"
3,12,0.595813529786105,"10","2"
10,11,0.539608685543482,"5","1"
2,6,-1.02645540821511,"7","8"
5,10,-0.424542282767933,"9","11"
2,18,-2.28568593616,"1","12"
8,8,1.20977921799065,"12","11"
16,19,0.846848442001203,"1","7"
2,9,-0.539396195089175,"3","4"
10,19,1.3563472561251,"15","8"
8,8,1.89741166889202,"12","5"
4,9,0.498840528663427,"9","6"
5,6,1.19770080411555,"12","4"
9,18,-1.1146931088871,"9","4"
12,16,0.708178654657976,"6","3"
5,10,-1.62367048257115,"5","11"
11,13,-1.54431914720087,"2","4"
1,7,1.0816568616688,"14","7"
3,14,-1.10594856142121,"3","8"
1,14,-0.889218569485529,"8","1"
11,18,1.1378151834102,"13","6"
11,12,1.20694947725231,"6","5"
