"incidence","size","x","g1","c1","c2","c3","c4","c5","c6","c7"
2,12,0.0168651774121872,"8","7","6","5","7","1","7","1"
9,9,0.480299435100641,"4","6","5","3","4","8","3","3"
1,16,-1.05085903024582,"1","3","1","7","7","8","6","5"
17,17,0.362526411393999,"3","5","3","3","2","6","6","1"
7,14,-0.295413285612959,"11","8","5","7","3","3","3","8"
9,9,0.477202292530451,"3","4","3","2","6","8","3","3"
12,15,0.80238576665237,"6","8","8","1","5","1","1","4"
13,13,-1.03353920995632,"6","2","4","7","7","2","1","5"
7,16,-0.705007566219375,"10","6","8","3","6","2","7","2"
5,15,-1.77687599297436,"4","3","6","7","1","8","3","2"
10,14,-0.390118952406683,"12","5","4","5","5","4","3","5"
7,11,-1.21882836987334,"9","4","5","1","6","8","2","4"
16,18,-0.603387047699353,"3","1","6","8","2","5","7","3"
3,5,-0.326318812999981,"5","8","2","3","1","7","6","2"
13,16,0.86382155459683,"7","2","8","1","4","8","3","5"
12,20,-0.210749011607931,"5","5","8","3","5","3","6","5"
11,20,-0.10990189858926,"10","6","7","2","7","2","7","2"
10,20,-1.30341316578854,"1","1","4","5","2","4","4","4"
13,16,-1.13320920381899,"11","2","7","6","8","7","3","6"
9,12,-0.219942926009554,"7","4","2","4","5","1","4","5"
3,11,0.0892567330208775,"8","2","8","1","3","1","1","3"
17,18,1.49841758593226,"4","8","4","1","6","3","4","4"
4,9,1.71343349247153,"8","6","2","7","8","6","5","7"
5,20,-1.35549911971047,"9","7","3","5","1","5","4","4"
6,7,1.21586573910187,"9","4","2","3","7","7","8","7"
15,19,0.104348332331866,"10","7","5","7","6","2","3","8"
3,5,0.201237439019147,"12","7","8","3","2","8","1","1"
0,14,-0.79577578488909,"10","3","3","7","3","5","1","8"
4,9,0.0506896157143042,"11","6","1","3","5","8","3","3"
7,17,0.229506390072565,"7","7","1","5","1","6","8","7"
15,19,-1.19651680932687,"10","2","6","8","6","8","7","6"
7,13,0.540748288952382,"11","2","8","2","5","1","7","2"
13,14,-0.290137206014926,"3","4","2","8","6","2","4","7"
2,15,0.203500235152646,"12","8","8","7","1","8","7","3"
3,6,1.2882389941654,"5","6","1","3","3","7","5","8"
10,11,0.660925236129607,"4","3","4","4","5","2","4","4"
2,6,1.29955435515734,"1","2","5","5","5","3","4","8"
0,6,-0.306071334631355,"6","3","8","4","1","1","2","1"
9,18,0.808668177231217,"1","6","4","2","1","6","3","8"
16,17,0.603810645272894,"6","5","2","1","6","5","1","5"
10,14,-0.375148828745992,"7","8","5","6","5","4","5","2"
13,15,1.56623669768055,"3","1","8","2","5","2","3","2"
2,7,-0.721586032784462,"10","1","3","8","6","5","4","6"
1,10,0.0796982396456676,"9","5","1","4","1","5","6","7"
1,7,0.924642239117529,"6","1","1","4","8","6","4","6"
15,16,1.08007351337169,"7","8","3","5","7","7","5","8"
17,19,0.0696787262285377,"3","3","7","4","8","4","2","7"
2,5,0.213949365664364,"11","6","2","6","5","7","1","8"
14,16,-0.120747640659405,"3","3","4","8","5","6","1","6"
11,12,-1.85981588018838,"3","4","8","8","8","8","2","3"
2,6,0.536690947859863,"11","1","5","7","4","2","6","1"
6,12,-0.501020846877369,"2","5","6","7","4","1","6","7"
17,19,0.223899102665664,"1","2","7","4","5","2","6","8"
10,11,0.787047182675664,"6","8","8","7","7","3","3","3"
13,18,-0.595446189931949,"7","5","2","3","4","3","5","2"
6,9,-0.0564392902776467,"6","6","6","4","2","7","4","8"
4,10,-0.401496245389398,"9","2","4","2","3","4","6","8"
0,9,-1.93910168483444,"8","3","1","4","4","3","1","3"
15,19,-0.739567795792844,"7","8","2","6","4","6","3","7"
17,19,0.558972325831054,"6","8","6","5","3","1","1","4"
9,13,1.21075381792836,"12","5","2","5","4","2","1","2"
8,8,0.0645931252646614,"4","4","5","6","5","7","8","2"
6,7,0.477943285067809,"5","4","8","2","6","2","1","4"
10,11,1.62890230726966,"9","2","5","8","2","2","2","3"
2,16,0.717751866123152,"8","6","6","7","3","6","8","6"
3,15,-0.767558787782575,"2","6","3","6","3","2","4","2"
4,9,-0.54526595517973,"1","7","8","7","5","6","6","4"
2,20,-1.49792101938407,"9","7","2","5","1","1","8","2"
4,6,-0.386277077639203,"9","8","2","7","1","7","3","4"
5,13,-0.555932367739221,"2","6","2","1","7","8","8","8"
