"cluster","x","grp","y"
"1",0.773988963534836,"a",0
"1",0.869426312458433,"b",4
"1",-0.602327207722418,"a",0
"1",0.028471765707253,"a",1
"1",-0.147841148665325,"a",1
"1",-0.322561696761383,"b",2
"1",-0.948339897023008,"a",1
"1",-0.0454470441992622,"a",2
"1",0.516945747694631,"b",7
"1",-2.50234017160743,"b",0
"1",-1.22607026780574,"b",0
"1",0.50653504951382,"b",9
"2",0.253517010518439,"a",0
"2",-0.0599109142535296,"a",1
"2",-0.597780324120614,"a",0
"2",-0.536637148646454,"a",0
"2",0.851507056868938,"b",0
"2",-1.65202272292194,"a",0
"2",0.0176080551378103,"a",1
"2",-0.209792851794276,"b",1
"2",1.50526246467306,"a",0
"2",-0.0378987157258424,"a",1
"2",-1.9700969373729,"b",1
"2",0.0607137445960778,"b",1
"3",-0.280209518525751,"b",1
"3",-0.771489284720237,"b",1
"3",-0.271863578938372,"b",0
"3",0.697871370946205,"a",4
"3",-3.0020158190148,"a",0
"3",1.62029756112742,"a",4
"3",1.19297389558765,"b",8
"3",-2.2633094874177,"b",0
"3",-0.856835549532554,"a",1
"3",-1.48606519540997,"a",0
"3",1.76665740027752,"b",1
"3",-0.726000167011363,"b",0
"4",-0.534731984660176,"a",2
"4",0.344626139608009,"a",1
"4",-2.00716739336252,"a",0
"4",2.39793051228259,"a",3
"4",0.789265863056535,"b",1
"4",-0.582122008526743,"b",0
"4",-1.8415054206859,"b",0
"4",-0.731654730569057,"b",6
"4",0.934665531162962,"b",1
"4",-0.621113181207395,"a",0
"4",-0.2048587368523,"b",3
"4",1.78896726095455,"b",6
"5",1.03255172389908,"b",6
"5",-0.701955208041722,"a",2
"5",0.205973969776714,"a",1
"5",0.672775354812857,"b",2
"5",-0.39550902593598,"b",1
"5",1.88470729186461,"a",5
"5",-0.383898625010771,"a",2
"5",0.670224784897832,"b",9
"5",-0.650351259966673,"a",0
"5",0.77194115327413,"b",9
"5",-1.2254451517677,"b",0
"5",-0.300005083938897,"a",2
"6",3.24424899003203,"a",0
"6",-1.05175073398296,"b",0
"6",-0.264510922373283,"b",1
"6",1.58010846571141,"b",4
"6",-0.512496423454703,"b",0
"6",-0.903856272738267,"b",0
"6",-0.82624154955029,"b",0
"6",-0.258996999995397,"a",0
"6",1.34445066915244,"a",0
"6",0.283102192495194,"a",3
"6",-0.532526690724417,"a",0
"6",0.71505293006886,"b",1
"7",0.217048572000751,"b",7
"7",-1.26660717469172,"b",4
"7",-0.907889199575647,"a",4
"7",-0.82176153943496,"a",1
"7",-1.05061786468182,"b",1
"7",0.989373533178054,"b",9
"7",0.453109144142496,"b",2
"7",-1.10564697999123,"b",1
"7",-0.0914677330335726,"b",8
"7",1.10417778696093,"b",13
