"y","x","g1","c1","c2","c3","c4","c5","c6","c7"
2,-1.28658455060966,"5","5","7","7","3","8","1","4"
0,0.61749820940984,"2","7","5","1","3","7","2","8"
1,-0.901680462871856,"7","7","8","2","5","6","8","5"
1,-0.65173148885261,"8","3","3","8","6","3","7","8"
1,-0.0945979115828728,"7","8","7","8","4","5","3","5"
2,1.33902657750062,"8","6","2","6","4","7","3","1"
0,-0.0436118644334852,"6","2","8","3","7","4","1","5"
0,-0.696431920294298,"9","1","8","4","7","3","2","8"
1,-0.410650923660381,"6","8","2","1","4","2","2","3"
0,0.682441836146372,"6","1","1","2","4","8","1","1"
1,-0.824724238541649,"10","1","4","6","8","3","2","7"
5,0.581470537875852,"5","1","8","5","7","6","2","4"
1,-0.231263530663889,"8","7","4","2","6","5","8","5"
16,2.15736962231715,"1","5","5","2","4","7","3","5"
1,0.850363552659912,"9","1","7","3","3","7","5","7"
19,1.02315239244071,"10","8","1","7","2","7","5","6"
1,-0.881197218721222,"9","6","1","1","3","5","8","1"
6,1.35107080863137,"12","7","8","8","6","6","7","8"
0,-0.666074357319492,"4","6","4","3","8","2","7","5"
2,-1.77838604621169,"1","5","8","2","3","7","3","4"
0,-0.305704446923525,"4","3","1","5","5","5","7","1"
1,-0.865576848776724,"11","6","2","5","3","4","2","6"
1,-1.08461135745783,"2","8","7","3","6","8","6","2"
3,-0.171439873177406,"8","4","2","7","8","6","3","3"
1,-0.162594608957989,"12","3","7","4","6","4","4","6"
0,0.843368178999533,"6","5","5","4","1","2","8","8"
0,-0.779400821594535,"3","2","4","4","2","7","3","5"
1,0.0331783325233022,"3","5","2","1","8","3","2","8"
2,-0.428658004131913,"2","8","7","7","1","1","4","4"
9,0.0100510500780616,"6","6","6","7","2","2","7","6"
0,-0.237229005371898,"3","6","2","2","8","6","4","2"
0,-2.19385438312099,"4","3","1","6","8","3","8","6"
2,0.978259890790719,"8","2","1","3","3","4","6","7"
1,0.0658649208081669,"2","5","5","6","8","7","8","5"
2,0.473185717695835,"5","4","4","7","8","5","2","5"
2,0.418360046665678,"5","7","7","7","2","1","4","3"
1,-0.34380865283765,"5","5","5","8","4","8","8","7"
12,0.162164278486886,"12","1","6","8","3","7","8","3"
1,0.674125931778808,"2","4","1","1","6","3","7","3"
1,0.701019006534464,"10","1","6","5","3","3","5","5"
0,0.0304943325628032,"7","6","6","2","7","1","5","3"
0,0.106009663935736,"9","6","2","8","2","8","1","4"
1,0.664784286918272,"3","2","4","5","3","3","3","3"
0,0.200699407553478,"1","3","8","8","6","2","2","1"
0,0.398094278478573,"10","7","7","4","3","7","5","4"
5,0.219166404747652,"3","7","8","8","2","2","2","3"
0,2.06291515801031,"1","7","1","2","1","3","4","7"
0,0.218135937189294,"11","7","7","4","1","6","5","1"
1,-0.917024515156542,"4","4","2","6","2","6","2","8"
1,-1.43970854420339,"7","4","6","4","6","2","5","5"
3,0.99692522079778,"7","1","6","1","8","5","4","5"
5,0.624504478445212,"7","5","3","4","8","4","1","3"
11,1.83065694044573,"6","1","5","5","8","7","1","4"
4,-1.92789479491763,"8","7","8","5","5","7","4","6"
2,-0.391419580067501,"1","1","6","2","4","3","6","7"
9,-1.30270961518944,"5","8","3","2","5","2","3","2"
15,0.383283976529306,"8","7","5","6","2","7","8","6"
0,-0.245927297555943,"3","3","2","6","4","2","7","6"
1,0.979711466793359,"1","4","6","4","7","6","3","3"
0,-0.660554078710461,"1","7","4","5","6","6","2","5"
3,0.944847422107127,"2","6","6","7","1","6","4","2"
2,1.13830405248951,"10","2","2","6","8","3","8","3"
1,1.21610755197134,"4","6","2","8","6","3","1","4"
1,1.16927511024453,"7","8","7","6","5","5","5","5"
3,0.677651244795659,"6","6","7","7","2","1","1","5"
1,-1.53879497909606,"12","6","7","7","5","5","7","8"
0,-0.343819921908322,"10","7","7","4","5","4","3","7"
2,-1.25413393680619,"5","1","3","6","6","1","1","3"
3,1.03461606181755,"2","4","8","8","4","4","2","6"
0,-2.12797899929462,"2","4","6","5","8","7","8","5"
