"case_id","glmm_status","mm_status","verdict","d_beta","d_stddev","d_corr","d_se","dev_gap","tol_beta","tol_stddev","tol_corr","tol_se"
"lmm_q3sx2_g30000p5_single_base","ok","ok","confirmed (MM agrees)",4.41800726967786e-08,4.74683615008869e-05,3.12051882300768e-06,2.54871605075824e-05,NA,0.001,0.001,0.004,0.001
"lmm_q4sx2_g300p5_single_base","ok","ok","confirmed (MM agrees)",3.20477752085424e-06,2.35224468909775e-05,2.95779074742653e-05,8.03616736367801e-06,NA,0.001,0.001,0.004,0.001
"lmm_q4sx2_g300p20_single_base","ok","ok","confirmed (MM agrees)",3.03146855959145e-06,9.73059223657094e-06,1.18359299880744e-05,6.29872205519483e-06,NA,0.001,0.001,0.004,0.001
"lmm_q5q2_g300p5_bal_base","ok","ok","confirmed (MM agrees)",3.14791779426066e-05,5.15215410687481e-05,0.000143644613629527,3.02860280975528e-05,NA,0.001,0.001,0.004,0.001
"lmm_q5q2_g3000p5_bal_base","ok","ok","confirmed (MM agrees)",4.96951744078172e-07,2.18769937963706e-05,3.3312305326369e-06,1.89279965541364e-05,NA,0.001,0.001,0.004,0.001
"lmm_q5q2_g3000p5_single_base","ok","ok","confirmed (MM agrees)",8.56470155554266e-07,2.41131341601702e-05,1.97386352014661e-05,2.18371465509182e-05,NA,0.001,0.001,0.004,0.001
"lmm_q5q2_g3000p5_bal_nearzero","ok","ok","confirmed (MM agrees)",1.1882374606763e-06,5.12810779648103e-05,0.0001564702407017,5.51961126267438e-06,NA,0.001,0.001,0.004,0.001
"lmm_q5q2_g3000p5_bal_highcorr","ok","ok","confirmed (MM agrees)",1.74188880593803e-06,0.000139845151948108,3.37420737550609e-05,0.000126736275961166,NA,0.001,0.001,0.004,0.001
"lmm_q5q2_g3000p5_bal_lowsnr","ok","ok","confirmed (MM agrees)",0.000105521362376855,1.22996372159801e-05,5.80974653169308e-05,1.02040470809734e-05,NA,0.001,0.001,0.004,0.001
"lmm_q5q2_g3000p20_single_base","ok","ok","confirmed (MM agrees)",1.97905735747133e-06,1.58942757379562e-05,2.22637230661293e-05,1.41895987852108e-05,NA,0.001,0.001,0.004,0.001
"lmm_q5q2_g3000p100_single_base","ok","ok","confirmed (MM agrees)",1.56713675088044e-05,0.000177651875558421,0.000125160588450898,0.00013868852462352,NA,0.001,0.001,0.004,0.001
"lmm_q5q2_g30000p5_bal_base","ok","ok","confirmed (MM agrees)",3.27429910816946e-07,6.42401776690241e-05,4.34436913255842e-05,6.36174345959063e-05,NA,0.001,0.001,0.004,0.001
"lmm_q6_g300p5_bal_base","ok","ok","boundary (same optimum, flat direction)",0.0200180761366083,0.0927450314260543,0.0910447160866574,0.0558635570007934,0.00783496430858577,0.001,0.001,0.004,0.001
"lmm_q6_g3000p5_bal_base","ok","ok","confirmed (MM agrees)",1.89824644750781e-06,1.81259219163669e-05,5.34649091541994e-05,8.44321811602769e-06,NA,0.001,0.001,0.004,0.001
"lmm_q6_g30000p5_bal_base","ok","ok","confirmed (MM agrees)",5.63779420865435e-07,1.12881811250833e-05,2.20449304146331e-05,6.43661127236232e-06,NA,0.001,0.001,0.004,0.001
"lmm_q6_g30000p5_single_base","ok","ok","confirmed (MM agrees)",2.4331936601473e-07,5.04992385398342e-06,7.43988139947915e-06,1.73412707195895e-06,NA,0.001,0.001,0.004,0.001
"lmm_q6_g30000p5_bal_nearzero","ok","ok","confirmed (MM agrees)",1.24966354906337e-07,9.8305772770687e-06,6.69409073692506e-05,1.55564953054814e-06,NA,0.001,0.001,0.004,0.001
"lmm_q6_g30000p5_bal_highcorr","ok","ok","confirmed (MM agrees)",5.12351979986521e-07,5.26511972074232e-06,6.90672435454953e-06,4.5560784149369e-06,NA,0.001,0.001,0.004,0.001
"lmm_q6_g30000p5_bal_lowsnr","ok","ok","confirmed (MM agrees)",6.0418389523232e-06,3.40374180448272e-05,3.92078421463937e-05,5.04217114447191e-06,NA,0.001,0.001,0.004,0.001
"lmm_q6_g30000p20_single_base","ok","ok","confirmed (MM agrees)",3.77908569757299e-07,6.01664877919187e-06,1.78208063737195e-05,4.18451388772901e-06,NA,0.001,0.001,0.004,0.001
"lmm_q6_g30000p100_single_base","ok","ok","confirmed (MM agrees)",3.76027112232379e-06,4.30946707091226e-05,8.20736847907677e-05,2.447662052343e-05,NA,0.001,0.001,0.004,0.001
"lmm_q6q2x3_g300p5_bal_base","ok","ok","confirmed (MM agrees)",0.000223379357870975,7.10917582029012e-05,0.000161515407315904,5.87397242784727e-05,NA,0.001,0.001,0.004,0.001
"lmm_q6q2x3_g3000p5_bal_base","ok","ok","confirmed (MM agrees)",2.10834273066157e-06,4.09395934843967e-05,4.49959364231534e-05,1.95996681820911e-05,NA,0.001,0.001,0.004,0.001
"lmm_q8_g300p5_bal_base","ok","ok","confirmed (MM agrees)",0.000275020026469732,0.000200386157768068,0.000242898419361259,5.30644678427798e-05,NA,0.001,0.001,0.004,0.001
"lmm_q8_g300p5_skew_base","ok","ok","confirmed (MM agrees)",0.000878643233842212,0.000217266997221568,0.000910675936347249,0.000168550468332201,NA,0.001,0.001,0.004,0.001
"lmm_q8_g300p5_bal_nearzero","ok","ok","confirmed (MM agrees)",0.000724272510935184,0.000192185522274022,0.000326884803137931,5.63156790957113e-05,NA,0.001,0.001,0.004,0.001
"lmm_q8_g300p5_bal_highcorr","ok","ok","boundary (same optimum, flat direction)",0.002888298161247,0.00135879872599343,0.00152925380266733,0.00103554419945688,-0.00366801772179315,0.001,0.001,0.004,0.001
"lmm_q8_g300p5_bal_lowsnr","ok","ok","confirmed (MM agrees)",0.000840292332867468,0.000228608580016645,0.000361951314190204,7.05794560831996e-05,NA,0.001,0.001,0.004,0.001
"lmm_q8_g3000p5_bal_base","ok","ok","confirmed (MM agrees)",1.39437610944235e-05,4.23597456661191e-05,0.000116276413312244,1.97821277765816e-05,NA,0.001,0.001,0.004,0.001
"lmm_q8_g3000p5_skew_base","ok","ok","confirmed (MM agrees)",6.46544278010617e-06,9.54662952030582e-06,2.5489357623476e-05,6.38239518564778e-06,NA,0.001,0.001,0.004,0.001
"lmm_q8_g3000p5_single_base","ok","ok","confirmed (MM agrees)",2.85466544561791e-06,1.72262389725382e-05,4.98445173442441e-05,3.93611759729774e-06,NA,0.001,0.001,0.004,0.001
"lmm_q8_g3000p5_bal_nearzero","ok","ok","confirmed (MM agrees)",6.22483191961834e-06,2.53400034921041e-05,0.00012729727817945,8.74876153409279e-06,NA,0.001,0.001,0.004,0.001
