"case_id","family","structure","n_theta","n_obs","balance","regime","status","glmm_status","mm_status","n_eval_glmm","n_eval_mm","eval_ratio","dev_glmm","dev_mm","wall_glmm","wall_mm","per_eval_glmm","per_eval_mm"
"lmm_int1_g300p5_bal_base","gaussian","int1",1,300,"bal","base","ok","ok","ok",17,13,1.30769230769231,677.398905968805,677.398905968805,5.2194e-05,0.000682753,3.07023529411765e-06,5.25194615384615e-05
"lmm_int1_g300p5_skew_base","gaussian","int1",1,300,"skew","base","ok","ok","ok",15,18,0.833333333333333,697.029477248438,697.029477248436,7.8406e-05,0.000550318,5.22706666666667e-06,3.05732222222222e-05
"lmm_int1_g300p5_single_base","gaussian","int1",1,300,"single","base","ok","ok","ok",16,16,1,848.045328315147,848.045328315145,0.000124062,0.000561109,7.753875e-06,3.50693125e-05
"lmm_int1_g300p5_bal_nearzero","gaussian","int1",1,300,"bal","nearzero","ok","ok","ok",16,18,0.888888888888889,561.902386690172,561.902386690172,4.7103e-05,0.000316445,2.9439375e-06,1.75802777777778e-05
"lmm_int1_g300p5_bal_lowsnr","gaussian","int1",1,300,"bal","lowsnr","ok","ok","ok",16,15,1.06666666666667,1525.83560978075,1525.83560978075,4.6768e-05,0.000272722,2.923e-06,1.81814666666667e-05
"lmm_int1_g300p20_bal_base","gaussian","int1",1,300,"bal","base","ok","ok","ok",20,15,1.33333333333333,599.854280670635,599.854280670636,4.4863e-05,0.000486347,2.24315e-06,3.24231333333333e-05
"lmm_int1_g300p20_skew_base","gaussian","int1",1,300,"skew","base","ok","ok","ok",17,24,0.708333333333333,568.762332494805,568.762332494804,5.8953e-05,0.00030046,3.46782352941176e-06,1.25191666666667e-05
"lmm_int1_g300p20_single_base","gaussian","int1",1,300,"single","base","ok","ok","ok",18,16,1.125,721.584726695589,721.584726695589,0.000104587,0.000549689,5.81038888888889e-06,3.43555625e-05
"lmm_int1_g300p20_bal_nearzero","gaussian","int1",1,300,"bal","nearzero","ok","ok","ok",16,12,1.33333333333333,534.898820476239,534.89882047624,4.191e-05,0.000242942,2.619375e-06,2.02451666666667e-05
"lmm_int1_g300p20_bal_lowsnr","gaussian","int1",1,300,"bal","lowsnr","ok","ok","ok",21,20,1.05,1540.08316010441,1540.08316010441,4.5801e-05,0.000240965,2.181e-06,1.204825e-05
"lmm_int1_g3000p5_bal_base","gaussian","int1",1,3000,"bal","base","ok","ok","ok",18,19,0.947368421052632,7148.18606931865,7148.18606931864,0.000151214,0.001336743,8.40077777777778e-06,7.03548947368421e-05
"lmm_int1_g3000p20_bal_base","gaussian","int1",1,3000,"bal","base","ok","ok","ok",19,25,0.76,6075.01025205071,6075.01025205071,0.000139151,0.001063103,7.32373684210526e-06,4.252412e-05
"lmm_int1_g3000p100_bal_base","gaussian","int1",1,3000,"bal","base","ok","ok","ok",18,12,1.5,5634.34305789234,5634.34305789234,0.00013012,0.000883585,7.22888888888889e-06,7.36320833333333e-05
"lmm_int1_g30000p5_bal_base","gaussian","int1",1,30000,"bal","base","ok","ok","ok",18,13,1.38461538461538,70648.5379053367,70648.5379053366,0.001152745,0.011173516,6.40413888888889e-05,0.000859501230769231
"lmm_int1_g30000p20_bal_base","gaussian","int1",1,30000,"bal","base","ok","ok","ok",19,17,1.11764705882353,60503.764054143,60503.7640541421,0.000985435,0.009355744,5.1865e-05,0.000550337882352941
"lmm_int1_g30000p100_bal_base","gaussian","int1",1,30000,"bal","base","ok","ok","ok",18,18,1,55842.7902132277,55842.7902132286,0.000928895,0.008382124,5.16052777777778e-05,0.000465673555555556
"lmm_int2x_g300p5_bal_base","gaussian","int2x",2,300,"bal","base","ok","ok","ok",27,29,0.931034482758621,744.856836654221,744.856836654219,0.000292825,0.001339304,1.08453703703704e-05,4.61828965517241e-05
"lmm_int2x_g300p20_bal_base","gaussian","int2x",2,300,"bal","base","ok","ok","ok",36,33,1.09090909090909,642.88725455256,642.887254552559,0.000126401,0.000793699,3.51113888888889e-06,2.40514848484849e-05
"lmm_int2x_g300p20_skew_base","gaussian","int2x",2,300,"skew","base","ok","ok","ok",36,37,0.972972972972973,592.053315518712,592.053315518718,0.000167813,0.000531823,4.66147222222222e-06,1.43735945945946e-05
"lmm_int2x_g300p20_single_base","gaussian","int2x",2,300,"single","base","ok","ok","ok",27,28,0.964285714285714,787.5899981258,787.5899981258,0.000591308,0.001199362,2.19002962962963e-05,4.28343571428571e-05
